start_station_name,rides_all,rides_january,rides_jan14_16,first_ride,last_ride,first_lat,first_lng,pct_january,pct_jan1416
Marine Dr & Ainslie St,7123,93,1,2023-02-01,2024-01-31,41.879627228,-87.6546735,15.667555805138285,0.16846834199073424
May St & Cullerton St,2369,41,0,2023-02-01,2024-01-31,41.854607582,-87.68962943333334,20.76825664837484,0.0
May St & Taylor St,13327,356,11,2023-02-01,2024-01-31,41.868771672,-87.74485883333334,32.05522623246042,0.9904704734749006
McClurg Ct & Erie St,14952,506,11,2023-02-01,2024-01-31,41.84881505,-87.6738285,40.6099518459069,0.8828250401284109
McClurg Ct & Ohio St,21369,455,16,2023-02-01,2024-01-31,41.8718015,-87.65228927135468,25.551031868594695,0.8984978239505826
McCormick Place,7628,86,0,2023-02-01,2024-01-31,41.83479225,-87.68015516666667,13.529103303618248,0.0
Michigan Ave & 14th St,12162,299,1,2023-02-01,2024-01-31,41.84840618333333,-87.6820793,29.501726689689196,0.0986679822397632
Michigan Ave & 18th St,9163,213,3,2023-02-01,2024-01-31,41.856722713,-87.64862671494483,27.894794281348904,0.39288442649787186
Michigan Ave & 8th St,17564,253,4,2023-02-01,2024-01-31,41.79230716666667,-87.79782316666666,17.285356410840354,0.2732862673650649
Michigan Ave & Ida B Wells Dr,7896,129,0,2023-02-01,2024-01-31,41.87371633333333,-87.79073248333333,19.6048632218845,0.0
Michigan Ave & Jackson Blvd,12338,274,2,2023-02-01,2024-01-31,41.866806149,-87.680721164,26.64937591181715,0.1945209920570595
Michigan Ave & Lake St,21178,597,0,2023-02-01,2024-01-31,41.705845233333335,-87.71734213333333,33.827556898668426,0.0
Michigan Ave & Madison St,10103,233,3,2023-02-01,2024-01-31,41.856773833333335,-87.65648466666667,27.67494803523706,0.35632980302880335
Michigan Ave & Oak St,37251,228,4,2023-02-01,2024-01-31,41.860457333333336,-87.68064771666667,7.344769267939116,0.1288556011919143
Michigan Ave & Pearson St,10000,171,6,2023-02-01,2024-01-31,41.883601657275165,-87.6756519,20.52,0.72
Michigan Ave & Washington St,22573,644,11,2023-02-01,2024-01-31,41.836735129,-87.64862671494483,34.23559119301821,0.584769414787578
Mies van der Rohe Way & Chestnut St,13626,274,3,2023-02-01,2024-01-31,41.879114628,-87.65218332409859,24.13033905768384,0.26420079260237783
Mies van der Rohe Way & Chicago Ave,13761,386,9,2023-02-01,2024-01-31,41.877845168,-87.71029495,33.66034445171136,0.7848266841072596
Millennium Park,29958,323,2,2023-02-01,2024-01-31,41.8588615,-87.73060976666666,12.938113358702184,0.08011215701982775
Milwaukee Ave & Cuyler Ave,1021,30,0,2023-02-01,2024-01-31,41.953950405,-87.749849677,35.25954946131244,0.0
Milwaukee Ave & Fullerton Ave,3888,76,0,2023-02-01,2024-01-30,41.92,-87.70094116666667,23.45679012345679,0.0
Milwaukee Ave & Grand Ave,15931,395,2,2023-02-01,2024-01-31,41.77407406666666,-87.680501819,29.75331115435315,0.15064967673090202
Milwaukee Ave & Rockwell St,4206,63,0,2023-02-01,2024-01-31,41.87371633333333,-87.6932441,17.97432239657632,0.0
Milwaukee Ave & Wabansia Ave,12672,326,3,2023-02-01,2024-01-31,41.883601657275165,-87.6821855,30.87121212121212,0.2840909090909091
Monticello Ave & Irving Park Rd,1877,61,0,2023-02-02,2024-01-31,41.953523993,-87.719841599,38.99840170484816,0.0
Montrose Harbor,20147,111,2,2023-02-01,2024-01-31,41.90066456666667,-87.6831905,6.611406164689532,0.1191244353998114
Morgan Ave & 14th Pl,4419,122,1,2023-02-01,2024-01-31,41.861533642,-87.68962943333334,33.129667345553294,0.27155465037338766
Morgan St & 18th St,5174,128,3,2023-02-01,2024-01-31,41.85762012,-87.74485883333334,29.68689601855431,0.6957866254348667
Morgan St & 31st St,4067,123,1,2023-02-01,2024-01-31,41.837455511,-87.651880264,36.292107204327515,0.2950577821490042
Morgan St & Lake St*,8662,366,12,2023-02-01,2024-01-31,41.864447405239375,-87.68239974975586,50.70422535211268,1.662433618102055
Morgan St & Polk St,19392,580,4,2023-02-01,2024-01-31,41.842626214,-87.71515141666667,35.89108910891089,0.24752475247524752
Museum of Science and Industry,5321,50,0,2023-02-02,2024-01-31,41.791428566,-87.62586271666666,11.2760759255779,0.0
N Carpenter St & W Lake St,2642,73,0,2023-02-01,2024-01-31,41.88524433333333,-87.65377383333333,33.15669947009841,0.0
N Damen Ave & W Chicago Ave,1422,63,0,2023-02-01,2024-01-31,41.895154,-87.68,53.164556962025316,0.0
N Green St & W Lake St,6644,184,0,2023-02-01,2024-01-31,41.885222166666665,-87.65,33.232992173389526,0.0
N Paulina St & Lincoln Ave,1997,46,0,2023-02-01,2024-01-31,41.94,-87.6718425,27.641462193289936,0.0
N Sheffield Ave & W Wellington Ave,2162,76,0,2023-02-01,2024-01-31,41.936005116,-87.654103756,42.183163737280296,0.0
N Shore Channel Trail & Argyle St,1128,22,0,2023-02-01,2024-01-29,41.97,-87.7030855,23.404255319148938,0.0
N Southport Ave & W Newport Ave,1706,56,0,2023-02-01,2024-01-31,41.94,-87.664348602,39.390386869871044,0.0
New St & Illinois St,20549,375,0,2023-02-01,2024-01-31,41.877773046,-87.65228927135468,21.89887585770597,0.0
Noble St & Milwaukee Ave,5377,191,1,2023-02-01,2024-01-31,41.883601657275165,-87.66787016666666,42.62599962804538,0.22317277292170354
Noble St & Milwaukee Ave (Temp),2038,0,0,2023-08-16,2023-11-15,41.88381575,-87.6626,0.0,0.0
Normal Ave & Archer Ave,1277,81,4,2023-02-02,2024-01-31,41.84942616666667,-87.640709043,76.11589663273297,3.758809710258418
