start_lat,start_lng,rides_all,rides_january,rides_jan14_16,first_ride,last_ride
41.77,-87.74,59,0,0,2023-03-19,2023-12-01
41.77,-87.73,88,0,0,2023-02-11,2023-12-27
41.77,-87.72,98,6,0,2023-02-12,2024-01-30
41.77,-87.71,26,0,0,2023-02-01,2023-10-16
41.77,-87.7,111,1,0,2023-02-08,2024-01-30
41.77,-87.69,88,0,0,2023-02-07,2023-12-21
41.77,-87.68,53,0,0,2023-02-06,2023-11-22
41.77,-87.67,55,0,0,2023-02-07,2023-12-04
41.77,-87.66,154,3,0,2023-02-15,2024-01-08
41.77,-87.65,319,21,0,2023-02-04,2024-01-30
41.77,-87.64,322,17,0,2023-02-09,2024-01-31
41.77,-87.63,458,23,0,2023-02-08,2024-01-31
41.77,-87.62,112,2,0,2023-03-04,2024-01-30
41.77,-87.61,132,1,0,2023-02-08,2024-01-12
41.77,-87.6,49,0,0,2023-02-04,2023-11-25
41.77,-87.59,313,1,0,2023-02-10,2024-01-02
41.77,-87.58,505,14,0,2023-02-10,2024-01-31
41.77,-87.57,505,17,0,2023-02-04,2024-01-31
41.77,-87.56,46,1,0,2023-04-10,2024-01-02
41.78,-87.8,23,0,0,2023-05-10,2023-11-29
41.78,-87.79,47,0,0,2023-05-12,2023-12-12
41.78,-87.78,93,0,0,2023-05-06,2023-11-22
41.78,-87.77,91,1,0,2023-05-12,2024-01-20
41.78,-87.76,39,0,0,2023-05-06,2023-12-31
41.78,-87.75,61,0,0,2023-05-27,2023-11-29
41.78,-87.74,82,2,0,2023-02-23,2024-01-22
41.78,-87.73,273,9,0,2023-02-04,2024-01-31
41.78,-87.72,220,3,0,2023-02-01,2024-01-31
41.78,-87.71,150,0,0,2023-02-02,2023-12-17
41.78,-87.7,391,2,0,2023-02-04,2024-01-23
41.78,-87.69,100,1,0,2023-02-11,2024-01-08
41.78,-87.68,51,4,0,2023-03-21,2024-01-13
41.78,-87.67,208,5,0,2023-03-17,2024-01-04
41.78,-87.66,83,2,0,2023-02-07,2024-01-25
41.78,-87.65,46,0,0,2023-02-04,2023-10-17
41.78,-87.64,49,0,0,2023-02-25,2023-12-21
41.78,-87.63,28,0,0,2023-04-08,2023-11-26
41.78,-87.62,103,2,0,2023-02-07,2024-01-24
41.78,-87.61,891,23,0,2023-02-01,2024-01-29
41.78,-87.6,1709,56,0,2023-02-01,2024-01-30
41.78,-87.59,688,19,0,2023-02-02,2024-01-30
41.78,-87.58,210,0,0,2023-03-28,2023-12-23
41.78,-87.57,250,3,0,2023-02-07,2024-01-18
41.79,-87.8,81,2,0,2023-05-15,2024-01-25
41.79,-87.79,33,1,0,2023-05-04,2024-01-28
41.79,-87.78,31,1,0,2023-05-22,2024-01-11
41.79,-87.77,44,0,0,2023-05-12,2023-12-06
41.79,-87.76,23,0,0,2023-05-16,2023-12-07
41.79,-87.75,17,1,0,2023-05-28,2024-01-03
41.79,-87.74,352,6,0,2023-02-01,2024-01-26
41.79,-87.73,142,0,0,2023-02-02,2023-12-02
41.79,-87.72,279,3,0,2023-02-08,2024-01-30
41.79,-87.71,248,4,0,2023-02-01,2024-01-24
41.79,-87.7,501,13,0,2023-02-01,2024-01-28
41.79,-87.69,134,5,0,2023-02-01,2024-01-20
41.79,-87.68,66,0,0,2023-02-07,2023-12-28
41.79,-87.67,21,0,0,2023-02-14,2023-09-16
41.79,-87.66,52,0,0,2023-02-20,2023-12-23
